WELL_NAME;DEPTH;Kp;AK_XM;GK_XM;NGK_XM;BK_XM;PL_XM;TVDSS
180_03;1785.400000;-999.250000;222.300995;15.318000;4.078000;54.698002;2.253000;1386.904363
180_03;1785.500000;0.120000;217.457993;14.364500;4.072500;59.920666;2.253000;1387.004338
180_03;1785.600000;0.120000;212.615005;13.411000;4.067000;65.641998;2.275000;1387.104314
180_03;1785.700000;0.120000;-999.250000;-999.250000;-999.250000;-999.250000;-999.250000;1387.204289
180_03;1786.500000;-999.250000;210.781494;10.532000;3.628000;104.910454;2.417000;1388.004092
180_03;1786.600000;-999.250000;213.509995;11.014000;3.599000;81.217003;2.407000;1388.104068
180_03;1786.700000;-999.250000;209.451996;11.495500;3.600000;97.126709;2.371000;1388.204043
180_03;1787.100000;0.194000;214.623505;13.422000;3.686000;107.772537;2.317000;1388.603945
180_03;1787.200000;0.194000;227.423996;13.904000;3.734000;79.532997;2.277000;1388.703920
180_03;1787.300000;0.194000;242.164001;14.432000;3.782000;88.309280;2.251000;1388.803895
180_03;1787.700000;0.040000;236.074997;14.592000;3.893000;172.816208;2.223000;1389.203797
180_03;1787.800000;0.040000;221.341995;14.288000;3.869000;207.494003;2.281000;1389.303772
180_03;1787.900000;0.040000;211.259506;13.888000;3.811500;199.336136;2.335000;1389.403748
180_03;1789.400000;-999.250000;211.779999;17.565001;2.763000;53.436001;2.393000;1390.903378
180_03;1789.500000;-999.250000;215.013000;18.134501;2.822000;49.955128;2.379000;1391.003354
180_03;1789.600000;-999.250000;218.246002;18.704000;2.881000;46.701000;2.357000;1391.103329
180_03;1789.700000;-999.250000;219.649994;18.608000;2.940000;49.161674;2.345000;1391.203305
180_03;1789.800000;-999.250000;221.054001;18.511999;2.999000;51.751999;2.329000;1391.303280
180_03;1789.900000;0.065000;221.225494;17.808001;3.058000;52.379692;2.315000;1391.403255
180_03;1790.000000;0.065000;221.397003;17.104000;3.117000;53.014999;2.301000;1391.503231
180_03;1790.100000;0.065000;224.574997;16.816000;3.190500;41.437939;2.293000;1391.603206
180_03;1790.200000;0.168000;227.753006;16.528000;3.264000;32.389000;2.277000;1391.703182
180_03;1790.300000;0.168000;230.445007;16.464001;3.317000;34.231113;2.265000;1391.803157
180_03;1790.400000;0.168000;233.136993;16.400000;3.370000;36.178001;2.265000;1391.903132
180_03;1790.500000;0.103000;235.465500;16.304001;3.389000;36.803593;2.265000;1392.003108
180_03;1790.600000;0.103000;237.794006;16.208000;3.408000;37.439999;2.271000;1392.103083
180_03;1790.700000;0.103000;233.177505;15.872000;3.456000;38.682388;2.281000;1392.203058
180_03;1790.800000;0.147000;228.561005;15.536000;3.504000;39.966000;2.303000;1392.303034
180_03;1790.900000;0.147000;229.526993;15.424000;3.571000;43.007282;2.297000;1392.403009
180_03;1791.000000;0.147000;230.492996;15.312000;3.638000;46.279999;2.285000;1392.502985
180_03;1791.100000;0.121000;228.917496;15.568000;3.696000;51.081886;2.283000;1392.602960
180_03;1791.200000;0.150000;227.341995;15.824000;3.754000;56.382000;2.291000;1392.702935
180_03;1791.300000;0.150000;229.356003;15.984000;3.849500;51.544472;2.291000;1392.802911
180_03;1791.400000;0.079000;231.369995;16.143999;3.945000;47.122002;2.305000;1392.902886
180_03;1791.500000;0.079000;231.520493;15.338500;4.022000;45.841606;2.305000;1393.002862
180_03;1791.600000;0.079000;231.671005;14.533000;4.099000;44.596001;2.315000;1393.102837
180_03;1791.700000;0.079000;228.451508;13.794500;4.110500;48.040943;2.321000;1393.202812
180_03;1791.800000;-999.250000;225.231995;13.056000;4.122000;51.751999;2.321000;1393.302788
180_03;1791.900000;0.154000;223.643005;12.317000;4.075000;50.903038;2.341000;1393.402763
180_03;1792.000000;0.154000;222.054001;11.578000;4.028000;50.068001;2.341000;1393.502738
180_03;1792.100000;0.178000;224.307495;10.740500;3.970500;50.903038;2.357000;1393.602714
180_03;1792.200000;0.178000;226.561005;9.903000;3.913000;51.751999;2.361000;1393.702689
180_03;1792.300000;0.178000;224.177505;9.305500;3.893500;58.097481;2.361000;1393.802665
180_03;1792.400000;0.178000;221.794006;8.708000;3.874000;65.221001;2.361000;1393.902640
180_03;1792.500000;-999.250000;214.615494;8.180000;3.873500;78.058578;2.361000;1394.002615
180_03;1793.100000;-999.250000;209.430496;6.789000;3.890000;74.744286;2.381000;1394.602468
180_03;1793.200000;-999.250000;213.903000;6.916000;3.888000;48.805000;2.367000;1394.702443
180_03;1793.300000;-999.250000;215.813995;7.187000;3.888000;54.379627;2.355000;1394.802418
180_03;1793.400000;-999.250000;217.725006;7.458000;3.888000;60.591000;2.351000;1394.902394
180_03;1793.500000;-999.250000;214.595001;7.760000;3.859000;65.835983;2.357000;1395.002369
180_03;1793.600000;-999.250000;211.464996;8.062000;3.830000;71.535004;2.351000;1395.102345
